genre,price,count,pos_reviews
Design & Illustration,45,0,-1.0
Photo Editing,15,0,-1.0
Photo Editing,20,0,-1.0
Photo Editing,25,0,-1.0
Photo Editing,30,0,-1.0
Photo Editing,35,0,-1.0
Photo Editing,40,0,-1.0
Photo Editing,45,0,-1.0
Utilities,45,0,-1.0
Audio Production,20,0,-1.0
Audio Production,35,0,-1.0
Audio Production,45,0,-1.0
Education,10,0,-1.0
Education,15,0,-1.0
Education,25,0,-1.0
Education,35,0,-1.0
Education,40,0,-1.0
Education,45,0,-1.0
Software Training,10,0,-1.0
Software Training,15,0,-1.0
Software Training,35,0,-1.0
Software Training,45,0,-1.0
Web Publishing,5,0,-1.0
Web Publishing,20,0,-1.0
Web Publishing,35,0,-1.0
Web Publishing,40,0,-1.0
Web Publishing,45,0,-1.0
Gore,15,0,-1.0
Gore,20,0,-1.0
Gore,25,0,-1.0
Gore,30,0,-1.0
Gore,35,0,-1.0
Gore,40,0,-1.0
Gore,45,0,-1.0
Gore,50+,0,-1.0
Game Development,5,0,-1.0
Game Development,15,0,-1.0
Game Development,25,0,-1.0
Game Development,30,0,-1.0
Game Development,35,0,-1.0
Game Development,45,0,-1.0
Game Development,50+,0,-1.0
Sexual Content,0,0,-1.0
Sexual Content,10,0,-1.0
Sexual Content,20,0,-1.0
Sexual Content,25,0,-1.0
Sexual Content,30,0,-1.0
Sexual Content,35,0,-1.0
Sexual Content,40,0,-1.0
Sexual Content,45,0,-1.0
Sexual Content,50+,0,-1.0
Action Games,0,0,-1.0
Action Games,5,0,-1.0
Action Games,10,0,-1.0
Action Games,15,0,-1.0
Action Games,20,0,-1.0
Action Games,25,0,-1.0
Action Games,30,0,-1.0
Action Games,35,0,-1.0
Action Games,40,0,-1.0
Action Games,45,0,-1.0
Action Games,50+,0,-1.0
